,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC)
1515,Maruti,2016,550000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
1523,Maruti,2018,430000,16589,Petrol,Trustmark Dealer,Manual,First Owner,5,67.04,kmpl,20.51,998
1525,Maruti,2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,5,81.8,kmpl,21.01,1197
1529,Renault,2018,1250000,12000,Diesel,Individual,Manual,First Owner,5,108.45,kmpl,19.6,1461
1531,Hyundai,2017,750000,40000,Diesel,Individual,Manual,Second Owner,5,88.73,kmpl,22.54,1396
1538,Maruti,2004,118000,60000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1540,Renault,2013,585000,80000,Diesel,Individual,Manual,Second Owner,5,83.8,kmpl,20.46,1461
1541,Maruti,2006,120000,120000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796
1543,Maruti,2006,150000,100000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1544,Maruti,2009,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796
1548,Maruti,2013,599000,60000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248
1550,Maruti,2016,570000,90000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
1551,Volkswagen,2013,440000,75000,Diesel,Individual,Manual,Second Owner,5,73.9,kmpl,22.07,1199
1556,Renault,2018,409999,35000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
1567,Tata,2011,200000,84321,Diesel,Individual,Manual,First Owner,5,70.0,kmpl,23.57,1396
1571,Hyundai,2008,215000,70000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
1577,Maruti,2015,515000,45000,Petrol,Individual,Manual,Second Owner,5,83.14,kmpl,20.85,1197
1579,Hyundai,2017,300000,60000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,20.3,998
1582,Ford,2012,250000,40000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
1585,Hyundai,2011,210000,110000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
1587,Maruti,2007,130000,88700,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
1589,Maruti,2016,310000,15000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1590,Mahindra,2012,200000,80000,Diesel,Individual,Manual,Second Owner,5,65.0,kmpl,20.8,1461
1592,Hyundai,2018,444000,15000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
1593,Mahindra,2011,225000,57000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,21.0,1461
1597,Maruti,2010,150000,120000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1598,Maruti,2014,110000,50000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1599,Maruti,2012,225000,40000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
1602,Maruti,2014,650000,90000,Diesel,Individual,Manual,First Owner,7,88.8,kmpl,20.77,1248
1606,Ford,2011,220000,100000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
1611,Volkswagen,2017,625000,34000,Diesel,Individual,Automatic,First Owner,5,108.495,kmpl,22.0,1498
1616,Maruti,2018,475000,30000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,21.63,998
1619,Hyundai,2018,540000,7000,Petrol,Dealer,Manual,First Owner,5,68.0,kmpl,20.3,1086
1620,Maruti,2019,484999,4875,Petrol,Dealer,Manual,First Owner,5,67.04,kmpl,21.63,998
1625,Tata,2017,919999,26766,Diesel,Dealer,Manual,First Owner,5,108.5,kmpl,21.5,1497
1627,Maruti,2017,600000,24522,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,20.4,1197
1635,Renault,2018,330000,30000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
1638,Ford,2012,300000,90000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
1640,Maruti,2013,625000,160000,Diesel,Individual,Manual,Third Owner,7,88.76,kmpl,20.77,1248
1645,Toyota,2017,1594000,5000,Diesel,Individual,Manual,First Owner,5,86.79,kmpl,21.43,1364
1647,Ford,2018,950000,27620,Diesel,Dealer,Manual,First Owner,5,98.59,kmpl,22.77,1498
1651,Maruti,2017,550000,40000,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,20.89,1197
1659,Hyundai,2009,150000,110000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
1660,Hyundai,2016,511000,80000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
1663,Maruti,2020,420000,25000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,21.63,998
1664,Maruti,2014,180000,55000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1672,Maruti,2013,525000,100000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
1677,Maruti,2013,550000,100000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
1681,Hyundai,2012,400000,138000,Diesel,Individual,Manual,First Owner,5,126.32,kmpl,22.32,1582
1685,Maruti,2016,245000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1686,Tata,2013,260000,189000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.02,1248
1687,Volkswagen,2014,411000,90000,Diesel,Individual,Automatic,Second Owner,5,103.2,kmpl,21.21,1498
1688,Hyundai,2014,450000,56000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.9,1396
1689,Maruti,2016,351000,60000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
1692,Maruti,2013,200000,90000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1694,Hyundai,2017,350000,20000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
1700,Maruti,2019,500000,15000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.89,1197
1707,Maruti,2012,254999,30000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1708,Maruti,2011,180000,60000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
1711,Maruti,2015,270000,49900,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
1712,Tata,2012,310000,86000,Diesel,Individual,Manual,First Owner,5,88.8,kmpl,21.12,1248
1714,Hyundai,2011,180000,35000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
1715,Maruti,2015,550000,50000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
1717,Hyundai,2015,900000,145000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,22.7,1582
1721,Maruti,2016,475000,110000,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
1726,Maruti,2016,390000,80000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
1729,Maruti,2010,170000,75000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1733,Hyundai,2012,195000,80000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
1735,Renault,2015,484999,75000,Diesel,Dealer,Manual,First Owner,5,83.8,kmpl,19.87,1461
1736,Maruti,2018,650000,22000,Petrol,Individual,Manual,Second Owner,5,103.25,kmpl,21.56,1462
1739,Volkswagen,2013,350000,80000,Diesel,Individual,Manual,First Owner,5,73.9,kmpl,22.07,1199
1744,Ford,2016,650000,50000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498
1745,Hyundai,2015,822000,60000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
1748,Maruti,2012,330000,50000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
1749,Maruti,2014,300000,74537,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998
1760,Maruti,2019,500000,11000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,21.63,998
1761,Tata,2016,360000,110000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,23.0,1248
1762,Maruti,2012,252000,48000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
1763,Maruti,2012,280000,70000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
1764,Maruti,2018,509999,70000,Petrol,Individual,Manual,Second Owner,5,81.8,kmpl,22.0,1197
1774,Maruti,2011,235000,100000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
1776,Hyundai,2010,131000,80000,Petrol,Individual,Manual,Third Owner,5,68.05,kmpl,19.81,1086
1779,Maruti,2013,200000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1782,Maruti,2012,380000,70000,Diesel,Individual,Manual,Third Owner,5,74.0,kmpl,22.9,1248
1783,Maruti,2008,128000,19000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
1788,Maruti,2016,400000,25000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
1789,Maruti,2012,200000,29500,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
1791,Maruti,2016,300000,50000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
1793,Maruti,2012,220000,100000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1795,Hyundai,2016,595000,60000,Diesel,Individual,Manual,Second Owner,5,88.73,kmpl,22.54,1396
1798,Maruti,2017,530000,30000,Petrol,Individual,Manual,Second Owner,5,83.1,kmpl,21.4,1197
1803,Hyundai,2018,325000,10000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
1804,Maruti,2018,550000,10000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
1805,Maruti,2018,720000,25000,Petrol,Individual,Manual,First Owner,5,91.1,kmpl,20.73,1373
1807,Maruti,2013,350000,60000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
1814,Tata,2018,790000,60000,Diesel,Individual,Manual,First Owner,5,108.5,kmpl,21.5,1497
1818,Mahindra,2019,950000,17000,Diesel,Individual,Manual,First Owner,5,115.0,kmpl,20.0,1497
1819,Maruti,2017,400000,50000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
1822,Mahindra,2012,260000,110000,Diesel,Individual,Manual,First Owner,5,65.0,kmpl,21.03,1461
1823,Tata,2012,200000,90000,Diesel,Individual,Manual,First Owner,5,70.0,kmpl,23.57,1396
1824,Maruti,2020,580000,70000,Petrol,Individual,Manual,First Owner,5,88.5,kmpl,23.26,1197
1825,Volkswagen,2011,330000,66000,Diesel,Individual,Manual,Second Owner,5,105.0,kmpl,20.5,1598
1828,Mahindra,2014,250000,50000,Diesel,Individual,Manual,Second Owner,5,65.0,kmpl,21.03,1461
1829,Maruti,2013,300000,70000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
1841,Maruti,2015,280000,80000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1845,Maruti,2018,550000,24400,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,22.0,1197
1849,Maruti,2011,130000,100000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1856,Ford,2013,229999,70000,Diesel,Individual,Manual,First Owner,5,68.1,kmpl,20.0,1399
1860,Maruti,2016,225000,35000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
1862,Maruti,2017,420000,30000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
1867,Maruti,2010,130000,120000,Petrol,Individual,Manual,Third Owner,8,35.0,kmpl,19.7,796
1876,Maruti,2006,120000,30000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1884,Maruti,2019,577000,3000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.89,1197
1885,Maruti,2012,229999,50000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
1888,Volkswagen,2017,900000,74000,Diesel,Individual,Manual,First Owner,5,108.6,kmpl,22.27,1498
1891,Hyundai,2016,250000,110000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
1892,Volkswagen,2016,550000,70000,Diesel,Individual,Manual,First Owner,5,88.0,kmpl,20.14,1498
1898,Maruti,2019,490000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.52,1197
1899,Hyundai,2009,150000,80000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
1900,Maruti,2013,600000,184000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
1904,Maruti,2013,525000,69000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
1906,Hyundai,2017,300000,8000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
1911,Maruti,2020,250000,120000,Petrol,Individual,Manual,Second Owner,5,67.0,kmpl,21.63,998
1912,Maruti,2016,350000,70000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998
1917,Maruti,2007,135000,57000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
1920,Hyundai,2018,946000,60000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,22.1,1396
1921,Tata,2011,215000,70000,Diesel,Individual,Manual,First Owner,5,69.0,kmpl,23.03,1396
1924,Hyundai,2008,220000,35000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
1931,Maruti,2011,195000,46000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
1932,Maruti,2010,125000,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796
1934,Maruti,2015,275000,16700,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
1936,Maruti,2015,600000,7967,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197
1937,Maruti,2018,720000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,22.0,1197
1939,Hyundai,2011,225000,50000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
1944,Hyundai,2013,550000,50000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,23.5,1396
1948,Maruti,2019,610000,5000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
1949,Ford,2016,515000,68609,Diesel,Dealer,Manual,First Owner,5,89.84,kmpl,22.7,1498
1950,Ford,2018,925000,33360,Diesel,Dealer,Manual,First Owner,5,98.59,kmpl,22.77,1498
1951,Ford,2012,225000,87237,Diesel,Dealer,Manual,Second Owner,5,68.05,kmpl,20.0,1399
1953,Maruti,2017,600000,26634,Petrol,Dealer,Automatic,First Owner,5,81.8,kmpl,21.21,1197
1958,Renault,2015,600000,67303,Diesel,Dealer,Manual,First Owner,5,83.8,kmpl,20.45,1461
1961,Maruti,2012,265000,130376,Diesel,Dealer,Manual,Second Owner,5,73.94,kmpl,23.2,1248
1967,Maruti,2013,525000,110000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
1968,Tata,2017,550000,30000,Petrol,Individual,Manual,First Owner,5,84.0,kmpl,20.3,1199
1983,Hyundai,2010,200000,70000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
1986,Hyundai,2014,200000,60000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
1988,Hyundai,2010,210000,94000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
1991,Tata,2019,660000,35000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248
1996,Hyundai,2012,450000,60000,Diesel,Individual,Manual,Third Owner,5,126.32,kmpl,22.32,1582
2002,Hyundai,2015,978999,90000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582
2004,Ford,2012,280000,60000,Diesel,Individual,Manual,Second Owner,5,88.7,kmpl,23.5,1498
2006,Maruti,2013,170000,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,47.3,kmpl,22.74,796
2013,Maruti,2019,630000,4000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197
2014,Hyundai,2011,250000,50000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
2016,Hyundai,2009,180000,70000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
2021,Hyundai,2014,348000,23000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
2022,Maruti,2014,196000,60000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
2026,Maruti,2015,600000,90000,Diesel,Individual,Manual,Third Owner,7,88.76,kmpl,20.77,1248
2035,Maruti,2007,120000,53512,Petrol,Dealer,Manual,Second Owner,5,46.3,kmpl,19.7,796
2041,Renault,2017,265000,90000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
2046,Maruti,2007,130000,78000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
2058,Hyundai,2010,180000,70000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197
2059,Maruti,2010,160000,48000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
2064,Renault,2014,480000,80000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,20.45,1461
2065,Maruti,2013,320000,100000,Diesel,Individual,Manual,Third Owner,5,74.0,kmpl,22.9,1248
2066,Maruti,2013,370000,96000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
2068,Maruti,2016,400000,60000,Diesel,Individual,Manual,Third Owner,5,73.94,kmpl,23.2,1248
2070,Maruti,2014,325000,48000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998
2074,Maruti,2012,200000,70000,Petrol,Individual,Manual,Second Owner,5,67.1,kmpl,20.92,998
2075,Maruti,2008,100000,70000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
2077,Maruti,2006,85000,150000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
2079,Hyundai,2014,580000,56000,Diesel,Individual,Manual,First Owner,5,126.3,kmpl,22.32,1582
2081,Ford,2010,200000,120000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
2084,Maruti,2012,520000,73000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248
2086,Renault,2018,380000,5000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999
2091,Renault,2013,490000,95000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,20.46,1461
2092,Hyundai,2015,229999,34000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
2094,Maruti,2019,362000,120000,CNG,Individual,Manual,Second Owner,5,61.7,km/kg,21.94,1196
2095,Toyota,2014,550000,31000,Diesel,Individual,Manual,First Owner,5,67.06,kmpl,23.59,1364
2098,Hyundai,2019,499000,5000,Petrol,Individual,Automatic,First Owner,5,68.0,kmpl,20.3,1086
2100,Toyota,2012,278000,120000,Diesel,Individual,Manual,Second Owner,5,67.1,kmpl,23.59,1364
2101,Renault,2013,580000,67000,Diesel,Individual,Manual,Second Owner,5,108.5,kmpl,20.4,1461
2106,Hyundai,2018,490000,7000,Petrol,Individual,Manual,First Owner,5,68.0,kmpl,20.3,1086
2110,Maruti,2012,320000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248
2112,Maruti,2013,320000,120000,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248
2113,Toyota,2012,600000,85000,Diesel,Individual,Manual,First Owner,5,87.2,kmpl,21.43,1364
2114,Maruti,2012,275000,50000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998
2115,Maruti,2009,170000,59000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796
2117,Renault,2015,620000,140000,Diesel,Individual,Manual,Second Owner,5,83.8,kmpl,20.45,1461
2119,Toyota,2015,550000,40000,Diesel,Individual,Manual,First Owner,5,67.04,kmpl,23.59,1364
2129,Hyundai,2011,400000,100000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582
2131,Tata,2012,300000,110000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.12,1248
2132,Maruti,2011,190000,92500,Petrol,Individual,Manual,Second Owner,5,67.1,kmpl,20.92,998
2138,Maruti,2018,650000,35000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,22.0,1197
2151,Hyundai,2015,869999,120000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,22.7,1582
2161,Chevrolet,2013,200000,70000,Diesel,Individual,Manual,First Owner,5,76.9,kmpl,22.1,1248
2162,Volkswagen,2018,650000,53000,Diesel,Individual,Manual,First Owner,5,88.0,kmpl,20.14,1498
2164,Hyundai,2018,330000,70000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,20.3,998
2165,Hyundai,2019,399000,4000,Petrol,Individual,Manual,First Owner,5,68.0,kmpl,20.3,1086
2166,Hyundai,2012,250000,103000,Petrol,Individual,Manual,First Owner,5,78.9,kmpl,20.36,1197
2168,Maruti,2013,375000,77000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
2169,Volkswagen,2012,375000,90000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598
2170,Hyundai,2013,445000,87185,Diesel,Individual,Manual,Second Owner,5,126.3,kmpl,22.32,1582
2172,Hyundai,2016,611000,77000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
2176,Hyundai,2012,390000,100000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582
2179,Toyota,2015,500000,125000,Diesel,Individual,Manual,First Owner,5,67.05,kmpl,23.59,1364
2184,Maruti,2013,185000,80000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
2185,Maruti,2018,550000,30000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
2191,Tata,2010,320000,42000,Diesel,Individual,Manual,First Owner,5,69.0,kmpl,23.03,1396
2192,Maruti,2016,350000,17000,Petrol,Individual,Automatic,First Owner,5,67.04,kmpl,23.1,998
2193,Maruti,2018,500000,40000,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,22.0,1197
2202,Maruti,2012,350000,70000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.5,1248
2208,Hyundai,2019,1050000,27000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,21.38,1396
2209,Maruti,2014,490000,50000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248
2211,Maruti,2013,190000,60000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
2214,Maruti,2016,270000,60000,Petrol,Individual,Manual,Second Owner,5,47.3,kmpl,22.74,796
2215,Hyundai,2008,170000,70000,Petrol,Individual,Manual,Third Owner,5,68.05,kmpl,19.81,1086
2216,Maruti,2018,764000,25000,Petrol,Individual,Manual,First Owner,5,91.1,kmpl,20.73,1373
2220,Hyundai,2017,280000,31000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814
2225,Volkswagen,2011,350000,110000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598
2227,Maruti,2017,570000,35000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
2231,Maruti,2014,185000,10300,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
2233,Maruti,2019,760000,3000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.01,1197
2235,Maruti,2018,700000,13000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197
2238,Maruti,2016,220000,40000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
2241,Hyundai,2017,650000,80000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,21.19,1396
2243,Maruti,2017,380000,30000,CNG,Individual,Manual,First Owner,5,61.7,km/kg,21.94,1196
2244,Toyota,2012,415000,125000,Diesel,Individual,Manual,Second Owner,5,87.2,kmpl,21.43,1364
2245,Hyundai,2012,225000,110000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
2246,Maruti,2013,600000,30000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248
2247,Maruti,2014,620000,148000,Diesel,Individual,Manual,Second Owner,7,88.8,kmpl,20.77,1248
2254,Tata,2014,280000,60000,Diesel,Individual,Manual,Second Owner,5,88.7,kmpl,23.0,1248
2259,Maruti,2012,370000,60000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.9,1248
2260,Maruti,2020,550000,15000,Petrol,Individual,Manual,First Owner,5,88.5,kmpl,23.26,1197
2263,Hyundai,2017,385000,42000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086
2271,Maruti,2013,650000,170000,Diesel,Individual,Manual,Third Owner,7,88.76,kmpl,20.77,1248
2273,Maruti,2012,180000,80000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
2274,Hyundai,2013,200000,57000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
2275,Hyundai,2014,300000,100000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086
2277,Maruti,2014,267000,40000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796
2286,Hyundai,2017,250000,50000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814
2287,Maruti,2009,135000,100000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
2288,Hyundai,2011,500000,80000,Diesel,Individual,Manual,First Owner,5,126.32,kmpl,22.32,1582
2296,Maruti,2008,112999,80000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796
2298,Ford,2012,325000,150000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399
2306,Hyundai,2017,650000,22200,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
2308,Maruti,2016,500000,32000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197
2312,Renault,2016,645000,120000,Diesel,Individual,Manual,First Owner,5,83.8,kmpl,19.87,1461
2316,Maruti,2011,114999,10000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796
2323,Maruti,2018,575000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.89,1197
2327,Renault,2016,650000,80000,Diesel,Individual,Manual,First Owner,5,108.45,kmpl,19.72,1461
2330,Maruti,2009,145000,150000,Diesel,Individual,Manual,Third Owner,5,73.9,kmpl,21.1,1248
2336,Chevrolet,2013,246000,56000,Diesel,Dealer,Manual,First Owner,5,74.0,kmpl,22.1,1248
2339,Volkswagen,2015,560000,43001,Diesel,Dealer,Manual,First Owner,5,108.6,kmpl,22.27,1498
2341,Maruti,2019,470000,9000,Petrol,Dealer,Automatic,First Owner,5,67.04,kmpl,21.63,998
2346,Hyundai,2017,850000,35000,Diesel,Individual,Manual,Third Owner,5,126.2,kmpl,22.0,1582
2347,Renault,2013,550000,100600,Diesel,Individual,Manual,Third Owner,5,83.8,kmpl,20.46,1461
2348,Maruti,2013,480000,105000,Diesel,Individual,Manual,Third Owner,5,74.0,kmpl,23.4,1248
2352,Maruti,2010,320000,60000,Petrol,Individual,Manual,Second Owner,5,85.8,kmpl,21.1,1197
2355,Hyundai,2016,725000,120000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396
